섹터코드,섹터명,시가,종가,등락률(%),장중변동폭(%),구분,섹터등락률(%),티커,종목명,거래대금(억),거래대금배율,52주근접도,hot_score,시가총액(억),시장
1005,음식료·담배,5115.07,5143.63,0.56,2.11,섹터,,,,,,,,,
1007,종이·목재,283.51,282.19,-0.47,1.18,섹터,,,,,,,,,
1025,보험,39398.67,39170.1,-0.58,1.43,섹터,,,,,,,,,
1020,통신,672.57,667.19,-0.8,1.51,섹터,,,,,,,,,
1026,일반서비스,1658.43,1642.11,-0.98,1.62,섹터,,,,,,,,,
1021,금융,1118.93,1105.97,-1.16,1.85,섹터,,,,,,,,,
1016,유통,630.63,622.74,-1.25,2.3,섹터,,,,,,,,,
1009,제약,16593.7,16386.95,-1.25,1.47,섹터,,,,,,,,,
1012,기계·장비,4832.69,4768.41,-1.33,2.88,섹터,,,,,,,,,
1017,전기·가스,1342.94,1324.51,-1.37,1.85,섹터,,,,,,,,,
1006,섬유·의류,257.04,253.09,-1.54,2.28,섹터,,,,,,,,,
1008,화학,5708.58,5617.39,-1.6,2.15,섹터,,,,,,,,,
1014,의료·정밀기기,1887.84,1857.64,-1.6,2.68,섹터,,,,,,,,,
1011,금속,9673.2,9486.14,-1.93,3.42,섹터,,,,,,,,,
1015,운송장비·부품,6747.19,6612.47,-2.0,2.49,섹터,,,,,,,,,
1019,운송·창고,2112.59,2065.26,-2.24,3.26,섹터,,,,,,,,,
1027,제조,19560.29,19118.14,-2.26,2.66,섹터,,,,,,,,,
1010,비금속,4463.74,4361.3,-2.29,2.59,섹터,,,,,,,,,
1013,전기전자,96072.18,93634.43,-2.54,3.15,섹터,,,,,,,,,
1018,건설,242.1,233.39,-3.6,4.3,섹터,,,,,,,,,
1024,증권,8203.31,7850.38,-4.3,4.87,섹터,,,,,,,,,
,음식료·담배,,1341000.0,2.37,,주도주,0.56,003230,삼양식품,875.2,1.38,0.805,0.8154,101018.0,KOSPI
,음식료·담배,,178300.0,1.65,,주도주,0.56,033780,KT&G,360.4,0.0,0.0,0.5396,204468.0,KOSPI
,음식료·담배,,246500.0,1.23,,주도주,0.56,097950,CJ제일제당,244.3,0.0,0.0,0.5315,37109.0,KOSPI
,보험,,249500.0,0.0,,주도주,-0.58,032830,삼성생명,3940.0,4.84,0.951,0.8354,499000.0,KOSPI
,통신,,95100.0,-1.65,,주도주,-0.8,017670,SK텔레콤,1102.5,1.32,0.927,0.7355,204265.0,KOSPI
,통신,,60900.0,1.33,,주도주,-0.8,030200,KT,236.4,0.0,0.0,0.535,153481.0,KOSPI
,통신,,15840.0,-1.0,,주도주,-0.8,032640,LG유플러스,167.1,0.0,0.0,0.469,68085.0,KOSPI
,일반서비스,,265500.0,-0.19,,주도주,-0.98,443060,HD현대마린솔루션,633.5,1.23,0.925,0.7749,119033.0,KOSPI
,일반서비스,,53100.0,-1.12,,주도주,-0.98,028050,삼성E&A,942.7,0.62,0.919,0.7068,104076.0,KOSPI
,일반서비스,,3015.0,7.3,,주도주,-0.98,016880,웅진,155.3,0.0,0.0,0.578,2410.0,KOSPI
